    //NAME(,AtomicNumber,element,symbol,mass,neutrons,protons,electrons,period,group,phase,radioactive,natural,metal,nonmetal,metalloid,metalGroup,radius,electronegativity,firstIonization,density,meltingPoint,boilingPoint,isotopes,discoverer,Year.of(Year),specificHeat,shells,valence,),,,,,,,,,,,,,,,,,,,,,,
    BR(,35,Bromine,Br,79.904F,45,35,35,4,17,liquid,false,true,false,true,false,Halogen,1.1F,2.96F,11.8138F,3.12F,266.05F,332,19,Balard,Year.of(1826),0.474,4,7,),,,,,,,,,,,,,,,,,,,,,,
    H(,1,Hydrogen,H,1.007F,0,1,1,1,1,gas,false,true,false,true,false,Nonmetal,0.79F,2.2F,13.5984F,0.0000899F,14.175F,20.28,3,Cavendish,Year.of(1766),14.304,1,1,),,,,,,,,,,,,,,,,,,,,,,
    HE(,2,Helium,He,4.002F,2,2,2,1,18,gas,false,true,false,true,false,Noble Gas,0.49F,F,24.5874F,0.000179F,F,4.22,5,Janssen,Year.of(1868),5.193,1,2,),,,,,,,,,,,,,,,,,,,,,,
    LI(,3,Lithium,Li,6.941F,4,3,3,2,1,solid,false,true,true,false,false,Alkali Metal,2.1F,0.98F,5.3917F,0.534F,453.85F,1615,5,Arfvedson,Year.of(1817),3.582,2,1,),,,,,,,,,,,,,,,,,,,,,,
    BE(,4,Beryllium,Be,9.012F,5,4,4,2,2,solid,false,true,true,false,false,Alkaline Earth Metal,1.4F,1.57F,9.3227F,1.85F,1560.15F,2742,6,Vaulquelin,Year.of(1798),1.825,2,2,),,,,,,,,,,,,,,,,,,,,,,
    B(,5,Boron,B,10.811F,6,5,5,2,13,solid,false,true,false,false,true,Metalloid,1.2F,2.04F,8.298F,2.34F,2573.15F,4200,6,Gay-Lussac,Year.of(1808),1.026,2,3,),,,,,,,,,,,,,,,,,,,,,,
    C(,6,Carbon,C,12.011F,6,6,6,2,14,solid,false,true,false,true,false,Nonmetal,0.91F,2.55F,11.2603F,2.27F,3948.15F,4300,7,Prehistoric,Year.of(-1),0.709,2,4,),,,,,,,,,,,,,,,,,,,,,,
    N(,7,Nitrogen,N,14.007F,7,7,7,2,15,gas,false,true,false,true,false,Nonmetal,0.75F,3.04F,14.5341F,0.00125F,63.29F,77.36,8,Rutherford,Year.of(1772),1.04,2,5,),,,,,,,,,,,,,,,,,,,,,,
    O(,8,Oxygen,O,15.999F,8,8,8,2,16,gas,false,true,false,true,false,Nonmetal,0.65F,3.44F,13.6181F,0.00143F,50.5F,90.2,8,Priestley/Scheele,Year.of(1774),0.918,2,6,),,,,,,,,,,,,,,,,,,,,,,
    F(,9,Fluorine,F,18.998F,10,9,9,2,17,gas,false,true,false,true,false,Halogen,0.57F,3.98F,17.4228F,0.0017F,53.63F,85.03,6,Moissan,Year.of(1886),0.824,2,7,),,,,,,,,,,,,,,,,,,,,,,
